date,description,event_type,disruption_type,deaths,total_injuries,cancellation,country,city_region,source_s,event_type_agg,disruption_type_agg
2014-03-30,Fan dead in Match between Djurgårdens IF vs Helsingborgs IF,Sports event,Violence - non-terror,1,0,1,Sweden,Allsvenskan,"https://www.cbsnews.com/news/swedish-soccer-match-called-off-after-man-dies-amid-fan-fighting/
https://www.transfermarkt.com/helsingborgs-if_djurgardens-if/index/spielbericht/2412131",Sports event,Violence and security-related incidents
2014-04-07,Snowbombing festival | spectator death,Music festival,Medical emergency - Spectator,1,0,0,Austria,Mayrhofen,https://www.theguardian.com/world/2014/apr/07/briton-dies-austrian-music-festival-snowbombing,Music festival,Medical emergencies
2014-05-19,Osasuna vs. Betis  football match | structural incident,Sports event,Structural or Physical Failure,0,58,0,Spain,Pamplona,https://www.publico.es/deportes/avalancha-sadar-causa-58-heridos-30-minutos-osasuna-betis.html,Sports event,Accidental and technical failures
2014-08-02,VELD festival | drug-related fatalities,Music festival,Drug-related Incident,2,13,0,Canada,Toronto,https://www.cbc.ca/news/canada/toronto/veld-music-festival-deaths-toronto-police-focus-on-party-drugs-1.2727870,Music festival,Crowd and behavioral incidents
2014-08-28,Burning Man | vehicle accident fatality,Music festival,Accidental incident (non-structural),1,0,0,United States,Las Vegas,https://www.theguardian.com/culture/2014/aug/28/burning-man-festival-nevada-woman-dies,Music festival,Accidental and technical failures
2014-09-28,AutoMotorSportief  monster truck show | accident fatalities,Show,Accidental incident (non-structural),3,23,1,Netherlands,Haaksbergen,https://nltimes.nl/2014/09/29/three-killed-monster-truck-rampage,Other live entertainment,Accidental and technical failures
2014-10-05,"Japanese Grand Prix (F1) | serious crash, race stopped",Race,Accidental incident (non-structural),0,1,1,Japan,Suzuka,https://www.bbc.com/sport/formula1/33578770,Race,Accidental and technical failures
2014-10-17,4Minute K pop concert | structural collapse fatalities,Concert,Structural or Physical Failure,16,11,1,South Korea,Seongnam,https://www.theguardian.com/world/2014/oct/17/14-feared-dead-south-korea-pop-concert-4minute,Concert,Accidental and technical failures
2015-01-31,Israel Yinon concert | performer fatality,Concert,Medical emergency - Performer,1,0,1,Switzerland,Lucerne,https://www.bbc.com/news/entertainment-arts-31058204,Concert,Medical emergencies
2015-03-19,"""Endless SHOCK"" theatre performance | structural failure",Theater play,Structural or Physical Failure,0,6,1,Japan,Osaka,https://www.oricon.co.jp/news/2050280/full/#google_vignette,Other live entertainment,Accidental and technical failures
2015-06-06,Rock am Ring festival | lightning injuries,Music festival,Weather-related Incident,0,33,0,Germany,Mendig,https://www.theguardian.com/world/2015/jun/06/lightning-injures-33-at-music-festival-in-germany,Music festival,Environmental and external incidents
2015-07-06,NASCAR race | spectator injuries,Race,Accidental incident (non-structural),0,13,0,United States,Daytona,https://www.cbsnews.com/news/fans-hurt-as-spectacular-crash-mars-end-of-nascar-race/,Race,Accidental and technical failures
2015-07-11,Electric Love Festival | weather-related fatality,Music festival,Weather-related Incident,1,0,0,Austria,Salzburg,https://salzburg.orf.at/v2/news/stories/2720923/,Music festival,Environmental and external incidents
2015-08-22,Shoreham Airshow | airplane crash with fatalities,Show,Accidental incident (non-structural),11,16,1,United Kingdom,West Sussex,https://www.bbc.com/news/articles/c4g033jqywzo,Other live entertainment,Accidental and technical failures
2015-09-02,Hard Summer festival | drug-related fatalities,Music festival,Drug-related Incident,2,0,0,United States,Inglewood,https://abc7.com/post/deaths-of-2-women-at-hard-summer-leads-to-changes-by-live-nation/966349/,Music festival,Crowd and behavioral incidents
2015-09-27,TomorrowWorld festival | cancelled,Music festival,Logistical failure,0,0,1,United States,Chattahoochee Hills,https://www.atlantamagazine.com/news-culture-articles/chaos-in-chattahoochee-hills-rain-catches-tomorrowworld-organizers-ill-prepared-leaving-thousands-stranded-overnight-outside-the-festival/,Music festival,Accidental and technical failures
2015-11-13,Coordinated attacks | terrorist attack | Bataclan and Stade de France,Concert,Terrorist Attack,90,99,1,France,Paris,https://www.bbc.com/news/world-europe-34818994,Concert,Violence and security-related incidents
2015-11-17,"Germany vs Netherlands match | bomb threat, cancelled",Sports event,Threat or evacuation (no violence),0,0,1,Germany,Hanover,"https://www.theguardian.com/world/2015/nov/17/germany-holland-football-match-called-off-after-terror-attack-tip-off#:~:text=A%20football%20friendly%20between%20Germany,terror%20attack%20in%20the%20stadium",Sports event,Crowd and behavioral incidents
2015-11-21,Panathinaikos v Olympiakos called off after fans riot,Sports event,Violence - non-terror,0,4,1,Greece,Athens,https://www.espn.com/soccer/story/_/id/37443923/panathinaikos-olympiakos-postponed-violent-scenes,Sports event,Violence and security-related incidents
2016-01-25,Winter X Games  | athlete suffered stunt accident; later death,Sports event,Accidental incident (non-structural),1,0,0,United States,Aspen,https://www.bbc.com/news/world-us-canada-21280209,Sports event,Accidental and technical failures
2016-03-21,T Bois Blues Fest | lightning fatality,Music festival,Weather-related Incident,1,2,0,United States,Larose,https://people.com/human-interest/1-dead-2-wounded-after-lightning-strike-at-t-bois-blues-festival-in-louisiana/,Music festival,Environmental and external incidents
2016-04-09,Total Extreme Fighting (TEF) | athlete collapse; later death (João Carvalho),Sports event,Medical emergency - Performer,1,0,1,United Kingdom,Dublin,https://www.theguardian.com/sport/2016/apr/12/mma-fighter-joao-carvalho-dies-dublin-tko,Sports event,Medical emergencies
2016-04-15,Time Warp festival | drug-related fatalities,Music festival,Drug-related Incident,5,5,1,Argentina,Buenos Aires,https://www.theguardian.com/world/2016/apr/17/several-people-die-of-suspected-drug-overdoses-at-argentine-music-festival,Music festival,Crowd and behavioral incidents
2016-05-21,OHM Jazz club show | performer fatality (Nick Menza),Concert,Medical emergency - Performer,1,0,1,United States,Los Angeles,https://www.theguardian.com/music/2016/may/22/nick-menza-megadeth-drummer-dies-collapsing-stage-los-angeles,Concert,Medical emergencies
2016-05-21,Closeup Forever Summer concert | drug-related fatalities,Concert,Drug-related Incident,5,NA,0,Philippines,Pasay,https://web.archive.org/web/20221002002406/https://www.cnnphilippines.com/news/2016/05/23/close-up-forever-summer-concert-pasay-timeline.html,Concert,Crowd and behavioral incidents
2016-05-22,Motorcycle club concert | shooting,Concert,Shooting,2,11,1,Austria,Nenzing,https://www.stern.de/panorama/weltgeschehen/konzertgelaende-in-oesterreich--tote-nach-schiesserei-6861590.html,Concert,Violence and security-related incidents
2016-06-05,"Rock am Ring festival | lightning injuries, cancelled",Music festival,Weather-related Incident,0,80,1,Germany,Mendig,https://www.abc.net.au/news/2016-06-05/festival-goers-take-cover-after-lightning-strikes-injure-dozens/7478698,Music festival,Environmental and external incidents
2016-06-25,"Southside Festival | storm, cancelled",Music festival,Weather-related Incident,0,25,1,Germany,Neuhausen ob Eck,https://www.welt.de/vermischtes/article156551926/Schwere-Unwetter-25-Verletzte-Southside-Festival-abgesagt.html,Music festival,Environmental and external incidents
2016-07-12,NASCAR event | lightning fatality,Race,Weather-related Incident,1,10,0,United States,Philadelphia,https://www.nbcsports.com/nascar/news/jury-rules-for-pocono-raceway-nascar-in-lawsuit-on-fans-death-by-lightning,Race,Environmental and external incidents
2016-07-25,Ansbach Open festival | bombing attack,Music festival,Terrorist Attack,0,12,1,Germany,Ansbach,https://www.theguardian.com/world/2016/jul/25/ansbach-explosion-syrian-asylum-seeker-was-due-to-be-deported,Music festival,Violence and security-related incidents
2016-07-31,Hard Summer festival | drug-related fatalities,Music festival,Drug-related Incident,3,0,0,United States,Inglewood,https://www.theguardian.com/us-news/2016/aug/02/three-dead-hard-summer-rave-california-drugs,Music festival,Crowd and behavioral incidents
2016-08-06,Life in Color festival | drug-related fatalities,Music festival,Drug-related Incident,2,3,0,Turkey,Istambul,https://www.hurriyetdailynews.com/two-die-of-alcohol-drugs-at-istanbul-edm-festival--102765,Music festival,Crowd and behavioral incidents
2016-08-21,Roof Collapses During Steve Aoki Concert,Concert,Structural or Physical Failure,0,15,1,Norway,Oslo,https://www.nbcnews.com/pop-culture/music/roof-collapses-during-steve-aoki-concert-norway-injuring-15-n635521,Concert,Accidental and technical failures
2016-09-29,Mike Towell vs Dale Evans (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,United Kingdom,Glasgow,https://www.theguardian.com/sport/2016/oct/01/scottish-boxer-mike-towell-dies-after-bout?utm_source=chatgpt.com,Sports event,Medical emergencies
2016-12-30,Falls Festival | crowd crush injuries,Music festival,Crowd-related Incident,0,95,1,Australia,Lorne,"https://www.theguardian.com/australia-news/2017/mar/16/falls-festival-crush-victims-launch-class-action-against-organisers?CMP=gu_com#:~:text=Falls%20festival%20crush%20victims%20launch,against%20organisers%20%7C%20Victoria%20%7C%20The%20Guardian
https://www.worksafe.vic.gov.au/news/2017-11/investigation-falls-festival-crowd-crush-concludes",Music festival,Crowd and behavioral incidents
2017-01-15,BPM Festival | mass shooting,Music festival,Shooting,5,15,0,Mexico,Playa del Carmen,https://www.theguardian.com/world/2017/jan/16/reports-shooting-bpm-music-festival-mexico-playa-del-carmen,Music festival,Violence and security-related incidents
2017-03-11,Indio Solari concert | crowd crush | open-air venue,Concert,Crowd-related Incident,2,12,1,Argentina,Buenos Aires,https://www.bbc.com/news/world-latin-america-39251215,Concert,Crowd and behavioral incidents
2017-05-01,Col Bruce Hampton concert | performer fatality,Concert,Medical emergency - Performer,1,0,1,United States,Atlanta,"https://www.npr.org/sections/therecord/2017/05/02/526538126/colonel-bruce-hampton-dies-after-collapsing-on-stage-during-his-own-birthday-con#:~:text=Hampton%20was%20close%20to%20wrapping,imagined%20a%20more%20joyful%20departure.%22",Concert,Medical emergencies
2017-05-06,Greek Club Final riot,Sports event,Violence - non-terror,0,50,0,Greece,Volos,https://apnews.com/paok-beats-aek-2-1-to-win-greek-cup-final-marred-by-clashes-4dde6aab9a234099952a0195945b0979,Sports event,Violence and security-related incidents
2017-05-22,Ariana Grande concert | terrorist bombing | Manchester Arena,Concert,Terrorist Attack,22,1017,1,United Kingdom,Manchester,https://web.archive.org/web/20211003025132/https://files.manchesterarenainquiry.org.uk/live/uploads/2020/12/07182655/MAI-Day-44.pdf,Concert,Violence and security-related incidents
2017-05-28,Lightning in a Bottle festival | drug-related fatalities,Music festival,Drug-related Incident,2,23,0,United States,Buena Vista Lake,https://eu.vcstar.com/story/news/local/communities/ventura/2017/08/03/ventura-college-students-death-blamed-overdose/538992001/,Music festival,Crowd and behavioral incidents
2017-06-02,Rock am Ring festival | threat or evacuation,Music festival,Threat or evacuation (no violence),0,0,1,Germany,Mendig,https://www.theguardian.com/world/2017/jun/02/rock-am-ring-festival-in-germany-evacuated-over-terrorist-threat,Music festival,Crowd and behavioral incidents
2017-06-17,Electric Daisy Carnival festival | extreme heat medical emergency,Music festival,Weather-related Incident,1,1000,0,United States,Las Vegas,https://www.upi.com/Top_News/US/2017/06/20/1-dead-1000-in-need-of-medical-attention-at-Las-Vegas-dance-festival/8921497934778/,Music festival,Environmental and external incidents
2017-06-20,Barbara Weldens concert | performer electrocution,Concert,Accidental incident (non-structural),1,0,1,France,Gourdon,https://www.bbc.com/news/world-europe-40667429,Concert,Accidental and technical failures
2017-06-24,Body and Soul festival | spectator death,Music festival,Medical emergency - Spectator,1,0,0,Ireland,Ballinlough,https://www.irishtimes.com/culture/music/body-soul-sudden-death-was-a-huge-blow-to-festivalgoers-1.3133049,Music festival,Medical emergencies
2017-07-07,"“Other Desert Cities"" theatre performance | actor fatality (Shu Nakajima)",Theater play,Medical emergency - Performer,1,0,1,Japan,Tokyo,"https://japantoday.com/category/entertainment/actor-shu-nakajima-dies-after-falling-off-stage-during-live-performance?comment-order=oldest#:~:text=Japanese%20actor%20Shu%20Nakajima%2C%2069,was%20attempting%20to%20stand%20up.",Other live entertainment,Medical emergencies
2017-08-03,Lollapalooza festival | storm evacuation,Music festival,Weather-related Incident,0,0,1,United States,Chicago,https://edition.cnn.com/2017/08/04/entertainment/lollapalooza-storms,Music festival,Environmental and external incidents
2017-08-12,Flow Festival 2017 – Kiira storm disruption,Music festival,Weather-related Incident,0,0,1,Finland,Helsinki,https://www.flowfestival.com/en/2017/,Music festival,Environmental and external incidents
2017-08-14,DJ Alok concert | stage collapse injuries,Concert,Structural or Physical Failure,0,20,1,Brazil,Presidente Prudente,https://www.dm.com.br/cotidiano/palco-desaba-e-deixa-varios-feridos-no-show-do-dj-alok-em-sao-paulo/,Concert,Accidental and technical failures
2017-09-03,Burning Man | attendee death,Music festival,Accidental incident (non-structural),1,0,0,United States,Las Vegas,https://www.theguardian.com/culture/2017/sep/03/man-dies-after-running-into-fire-ceremony-at-burning-man,Music festival,Accidental and technical failures
2017-09-30,Ligue 1 match | barrier collapse injuries,Sports event,Structural or Physical Failure,0,29,1,France,Amiens,"https://www.bbc.com/sport/football/41456324
https://www.foxsports.com/stories/soccer/final-6-out-of-hospital-after-stadium-barrier-collapse",Sports event,Accidental and technical failures
2017-10-01,Route 91 Harvest festival | mass shooting,Music festival,Shooting,58,867,1,United States,Las Vegas,https://web.archive.org/web/20180120012047/https://www.lvmpd.com/en-us/Documents/1_October_FIT_Report_01-18-2018_Footnoted.pdf,Music festival,Violence and security-related incidents
2017-11-16,"ASEAN Music Festival | crowd incident, cancelled",Music festival,Crowd-related Incident,0,40,1,Philippines,Makati,"https://www.abs-cbn.com/news/11/16/17/asean-music-fest-organizer-admits-surprise-over-crowd-size#:~:text=Held%20at%20Ayala%20Triangle%20Gardens,had%20such%20a%20big%20following.",Music festival,Crowd and behavioral incidents
2017-12-18,Atmosphere Festival | stage collapse fatality,Music festival,Weather-related Incident,1,0,1,Brazil,Esteio,https://www.nytimes.com/2017/12/19/arts/music/brazilian-dj-dies-after-stage-collapses-at-atmosphere-festival.html,Music festival,Environmental and external incidents
2017-12-18,Ventilation Pipe Comes Crashing Down Over the Audience at Heavy Christmas Concert,Concert,Structural or Physical Failure,0,7,0,Finland,Vaasa,https://finlandtoday.fi/ventilation-pipe-comes-crashing-down-over-the-audience-at-heavy-christmas-concert-in-vaasa-seven-injured/,Concert,Accidental and technical failures
2018-03-03,Piast Gliwice's Ekstraklasa match against Górnik Zabrze was ended prematurely,Sports event,Violence - non-terror,0,0,1,Poland,Gliwice,https://www.polsatnews.pl/wiadomosc/2018-03-04/kary-po-meczu-piast-gliwice-gornik-zabrze-jest-decyzja-komisji-ligi/,Sports event,Violence and security-related incidents
2018-03-11,Greek Superleague suspended after team owner invades pitch with a gun,Sports event,Violence - non-terror,0,0,1,Greece,Thessaloniki,https://www.theguardian.com/football/2018/mar/12/greek-football-match-stopped-after-team-owner-invades-pitch-with-a-gun,Sports event,Violence and security-related incidents
2018-04-22,Antwerp Ten Miles | heat-related mass medical,Sports event,Weather-related Incident,0,268,0,Belgium,Antwerp,https://www.hln.be/binnenland/antwerpse-ten-miles-kreunen-onder-hitte-zeker-40-deelnemers-naar-ziekenhuis-een-persoon-krijgt-hartmassage~a390cb6a/?referrer=https%3A%2F%2Fwww.google.com%2F,Sports event,Environmental and external incidents
2018-05-13,Inna concert | stage collapse injuries,Concert,Structural or Physical Failure,0,2,1,Turkey,Istambul,https://www.romaniajournal.ro/spare-time/romanian-singer-inna-hospitalised-as-the-concert-stage-in-istanbul-collapses/,Concert,Accidental and technical failures
2018-07-08,Gorillaz rapper falls from stage during Roskilde set,Music festival,Medical emergency - Performer,0,1,1,Denmark,Roskilde,https://www.independent.co.uk/arts-entertainment/music/news/gorillaz-roskilde-set-denmark-del-the-funky-homosapien-a8437171.html,Music festival,Medical emergencies
2018-08-18,Pinkpop festival | hit and run fatality,Music festival,Accidental incident (non-structural),1,3,0,Netherlands,Limburg,https://www.theguardian.com/world/2018/jun/18/netherlands-pinkpop-festival-dead-injured-hit-and-run-music-festival,Music festival,Accidental and technical failures
2018-09-16,Defqon.1 festival | drug-related fatalities,Music festival,Drug-related Incident,2,713,0,Australia,Penrith,https://www.abc.net.au/news/2018-09-16/defqon-two-dead-after-music-festival-overdoses/10252848,Music festival,Crowd and behavioral incidents
2018-11-30,Bring me the Horizon Concert | attendee death,Concert,Medical emergency - Spectator,1,0,0,United Kingdom,London,https://www.bbc.com/news/newsbeat-46441069,Concert,Medical emergencies
2018-12-07,"Coke Studio Homecoming concert | unruly crowd, suspended",Concert,Crowd-related Incident,0,51,1,Philippines,Pasay,https://www.philstar.com/nation/2018/12/09/1875372/50-faint-1-hurt-pasay-concert,Concert,Crowd and behavioral incidents
2018-12-08,Sfera Ebbasta nightclub concert | crowd crush fatalities,Concert,Crowd-related Incident,6,100,1,Italy,Corinaldo,"https://edition.cnn.com/2018/12/08/europe/italy-nightclub-stampede
https://www.bbc.com/news/world-europe-46492222",Concert,Crowd and behavioral incidents
2019-01-13,Great Orchestra of Christmas Charity final | assassination,Concert,Violence - non-terror,1,0,1,Poland,Gdańsk,https://www.bbc.com/news/world-europe-46858463,Concert,Violence and security-related incidents
2019-01-19,Shooting at Geko concert,Concert,Shooting,0,1,1,Norway,Oslo,https://www.independent.ie/entertainment/music/one-injured-after-shooting-at-norway-venue-where-uk-rapper-was-performing/37729621.html,Concert,Violence and security-related incidents
2019-03-18,Panathinaikos v Olympiakos abandoned amid violence and tear gas,Sports event,Violence - non-terror,0,0,1,Greece,Athens,https://www.theguardian.com/football/2019/mar/18/panathinaikos-olympiakos-abandoned-violence-teargas-athens,Sports event,Violence and security-related incidents
2019-04-11,Comedy show | performer fatality (Ian Cognito),Show,Medical emergency - Performer,1,0,1,United Kingdom,Bicester,https://edition.cnn.com/2019/04/12/entertainment/ian-cognito-comedian-dies-bicester-intl-scli-gbr,Other live entertainment,Medical emergencies
2019-05-11,Wrestling match | performer fatality (Silver King),Sports event,Medical emergency - Performer,1,0,1,United Kingdom,London,https://www.bbc.com/news/uk-england-london-48242555,Sports event,Medical emergencies
2019-05-18,Electric Daisy Carnival festival | wind storm partial shutdown,Music festival,Weather-related Incident,0,0,1,United States,Las Vegas,https://lasvegassun.com/news/2019/may/19/high-winds-force-edc-attendees-to-evacuate-venue/,Music festival,Environmental and external incidents
2019-07-17,Rock festival (Limp Bizkit) | crowd crush injuries,Music festival,Crowd-related Incident,0,19,0,Austria,Graz,https://kurier.at/chronik/oesterreich/19-verletzte-im-dichten-gedraenge-vor-der-buehne/400553801,Music festival,Crowd and behavioral incidents
2019-07-19,Maxim Dadashev vs Subriel Matías (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,United States,Oxon Hill,https://www.cbsnews.com/baltimore/news/russian-boxer-maxim-dadashev-dies-after-losing-match-at-mgm-national-harbor/?utm_source=chatgpt.com,Sports event,Medical emergencies
2019-07-20,Hugo Santillán vs Eduardo Abreu (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,Argentina,Buenos Aires,https://www.theguardian.com/sport/2019/jul/25/hugo-alfredo-santillan-dies-injuries-fight-argentina-boxer,Sports event,Medical emergencies
2019-08-07,Boardmasters festival | weather cancellation,Music festival,Weather-related Incident,0,0,1,United Kingdom,Newquay,https://www.theguardian.com/culture/2019/aug/09/stranded-revellers-party-in-newquay-after-boardmasters-festival-cancelled,Music festival,Environmental and external incidents
2019-08-11,Knotfest festival | moshpit fatality,Music festival,Accidental incident (non-structural),1,0,0,United States,Maryland Heights,https://globalnews.ca/news/5774022/slipknot-fan-dies-mosh-pit/,Music festival,Accidental and technical failures
2019-08-24,Reading Festival | drug-related fatalities,Music festival,Drug-related Incident,2,0,0,United Kingdom,Reading,https://www.theguardian.com/uk-news/2019/aug/27/three-die-at-music-events-over-english-bank-holiday-weekend,Music festival,Crowd and behavioral incidents
2019-08-31,Casper and Marteria concert | storm injuries,Concert,Weather-related Incident,0,28,1,Germany,Essen,https://www.zeit.de/gesellschaft/zeitgeschehen/2019-09/casper-marteria-open-air-konzert-buehne-unfall-unwetter-verletzte,Concert,Environmental and external incidents
2019-08-31,"Formula 2 race | fatal crash (Anthoine Hubert), abandoned",Race,Accidental incident (non-structural),1,1,1,Belgium,Stavelot,https://www.theguardian.com/sport/2019/aug/31/spa-f2-race-abandoned-antoine-hubert-juan-manuel-correa-crash,Race,Accidental and technical failures
2019-10-01,Super Hollywood Orchestra | performer fatality (singer Joana Sainz),Concert,Accidental incident (non-structural),1,0,1,Spain,Ávila,https://www.bbc.com/news/world-europe-49551353,Concert,Accidental and technical failures
2019-10-12,Patrick Day vs Charles Conwell (box) | athlete collapse; later death,Sports event,Medical emergency - Performer,1,0,1,United States,Chicago,https://www.espn.com/boxing/story/_/id/27861877/patrick-day-dies-brain-injuries-four-days-knockout,Sports event,Medical emergencies
2020-01-18,30A Songwriters Festival | performer fatality (David Olney),Music festival,Medical emergency - Performer,1,0,1,United States,Walton County,"https://www.bbc.com/news/uk-england-london-48242555
https://www.theguardian.com/culture/2019/may/12/silver-king-wrestler-and-nacho-libre-star-dies-at-london-show",Music festival,Medical emergencies
2020-02-11,St. Louis Blues at Anaheim Ducks | athlete collapse; game abandoned,Sports event,Medical emergency - Performer,0,0,1,United States,Anaheim,https://www.espn.com/espn/wire?section=nhl&id=28683173,Sports event,Medical emergencies
2020-03-13,Australian Grand Prix | cancelled,Race,Logistical failure,0,0,1,Australia,Melbourne,https://www.theguardian.com/sport/2020/mar/13/formula-one-australian-grand-prix-melbourne-coronavirus,Race,Accidental and technical failures
2020-11-03,Opera performance | threat or evacuation | Vienna State Opera,Concert,Threat or evacuation (no violence),0,0,1,Austria,Vienna,https://www.theguardian.com/world/2020/nov/03/how-the-vienna-shooting-unfolded-final-hours-of-freedom-punctured-by-terror,Concert,Crowd and behavioral incidents
2020-12-16,Big Mountain Music Festival | shut down by authorities,Music festival,Logistical failure,0,0,1,Thailand,Pak Chong,https://www.bangkokpost.com/thailand/general/2034683/big-mountain-music-festival-ends-after-ban-order,Music festival,Accidental and technical failures
2021-07-17,Faster Horses Festival | carbon monoxide poisoning fatalities,Music festival,Accidental incident (non-structural),3,2,0,United States,Brooklyn,https://www.nbcnews.com/news/us-news/3-dead-2-critical-suspected-carbon-monoxide-leak-michigan-country-n1274314,Music festival,Accidental and technical failures
2021-08-22,"Ligue 1 match | riot, abandoned",Sports event,Violence - non-terror,0,3,1,France,Nice,"https://www.bbc.com/sport/football/58301034#:~:text=Dimitri%20Payet%20was%20hit%20by,went%20to%20take%20a%20corner.
https://www.france24.com/en/sport/20210823-france-opens-investigation-into-violent-clashes-at-nice-marseille-football-match",Sports event,Violence and security-related incidents
2021-08-29,"Belgian Grand Prix | rain, race aborted",Race,Weather-related Incident,0,0,1,Belgium,Spa,"https://www.bbc.com/sport/formula1/58377097#:~:text=Max%20Verstappen%20declared%20winner%20of%20aborted%20rain%2Dhit%20Belgian%20Grand%20Prix,-Published&text=Red%20Bull's%20Max%20Verstappen%20was,at%20the%20Spa%2DFrancorchamps%20track.",Race,Environmental and external incidents
2021-11-03,Ice hockey game | player fatality,Sports event,Medical emergency - Performer,1,0,1,Austria,Dornbirn,https://www.idnes.cz/hokej/evropske-ligy/sadecky-hokej-umrti.A211103_180603_evropa_ald,Sports event,Medical emergencies
2021-11-03,Two dead  at Abba tribute concert,Concert,Accidental incident (non-structural),2,1,1,Sweden,Uppsala,https://www.cbsnews.com/news/abba-tribute-concert-two-people-killed-one-injured/,Concert,Accidental and technical failures
2021-11-05,Astroworld Festival | crowd crush fatalities,Music festival,Crowd-related Incident,10,325,0,United States,Houston,https://www.nbcnews.com/news/us-news/8-dead-after-panic-houston-astroworld-music-festival-n1283397,Music festival,Crowd and behavioral incidents
2021-12-19,Once Upon a Time in LA festival | stabbing fatality (Drakeo the Ruler),Music festival,Violence - non-terror,1,0,0,United States,Los Angeles,https://www.bbc.com/news/world-us-canada-59720744,Music festival,Violence and security-related incidents
2022-03-05,Atlas vs Querétaro football match | riot | Estadio Corregidora,Sports event,Violence - non-terror,17,26,1,Mexico,Queretaro,https://www.theguardian.com/football/2022/mar/06/liga-mx-riot-match-suspended-queretaro-v-atlas-fans-fight-soccer-mexico?utm_source=chatgpt.com,Sports event,Violence and security-related incidents
2022-03-12,"Katt Williams' World War III comedy tour | bomb threat,  cancelled",Show,Threat or evacuation (no violence),0,0,1,United States,Nashville,https://abc7chicago.com/post/bomb-threat-nashville-tn-katt-williams-police-department/11648375/?utm_source=chatgpt.com,Other live entertainment,Crowd and behavioral incidents
2022-04-23,Accident at Norway motor show,Show,Accidental incident (non-structural),0,6,1,Norway,Oslo,https://www.thelocal.no/20220425/six-injured-after-car-collides-with-crowd-at-motor-show-in-oslo,Other live entertainment,Accidental and technical failures
2022-05-28,Champions League Final | crowd congestion | Stade de France,Sports event,Crowd-related Incident,0,238,0,France,Paris,https://www.espn.co.uk/football/story/_/id/38680915/champions-league-final-kick-delayed-amid-crowd-congestion-stade-de-france,Sports event,Crowd and behavioral incidents
2022-06-01,Eurockeennes festival | storm injuries,Music festival,Weather-related Incident,0,7,1,France,Belfort,https://www.lavoixdunord.fr/1200314/article/2022-07-01/violent-orage-aux-eurockeennes-7-blesses-dont-un-grave-la-journee-de-vendredi,Music festival,Environmental and external incidents
2022-06-04,We Love Green festival | storm disruption,Music festival,Weather-related Incident,0,0,1,France,Paris,https://www.leparisien.fr/culture-loisirs/musique/we-love-green-une-10e-edition-festive-malgre-les-orages-05-06-2022-ENNGC2CVZVC5LHGSBXFW4H2K7Q.php,Music festival,Environmental and external incidents
2022-07-01,Open’er Festival | storm interruption,Music festival,Weather-related Incident,0,0,1,Poland,Gdynia,"https://www.polskieradio.pl/395/7784/artykul/2992244,storm-interrupts-major-polish-music-festival",Music festival,Environmental and external incidents
2022-07-16,"Craig Robinson comedy show | gun threat,  cancelled",Show,Threat or evacuation (no violence),0,0,1,United States,Charlotte,https://www.latimes.com/entertainment-arts/story/2022-07-17/craig-robinson-comedy-club-evacuation-gunfire,Other live entertainment,Crowd and behavioral incidents
2022-08-12,O Marisquino de Vigo Festival | dock collapse injuries,Sports event,Structural or Physical Failure,0,467,1,Spain,Vigo,https://www.lavozdegalicia.es/noticia/galicia/2019/07/12/hundio-muelle-marisquino/00031562962666523118944.htm,Sports event,Accidental and technical failures
2022-08-13,Medusa Circus of Madness Festival | storm and structural collapse,Music festival,Weather-related Incident,1,40,1,Spain,Valencia,https://www.cbsnews.com/news/stage-collapse-medusa-circus-of-madness-dance-music-festival-spain-death-injuries/,Music festival,Environmental and external incidents
2022-10-08,Supersport 300 World Championship accident,Race,Accidental incident (non-structural),1,0,0,Portugal,Portimão,http://motorsportmemorial.org/focus.php?db=ms&n=14484,Race,Accidental and technical failures
2022-11-12,Wings Over Dallas Airshow | Mid-air collision,Show,Accidental incident (non-structural),6,0,1,United States,Dallas,https://www.nbcdfw.com/news/local/plane-crash-during-air-show-at-dallas-executive-airport/3123720/,Other live entertainment,Accidental and technical failures
2022-11-28,Göztepe vs. Altay football derby | riot,Sports event,Violence - non-terror,0,3,1,Turkey,İzmir,https://www.hurriyetdailynews.com/ambulance-drivers-behind-injuries-at-izmir-derby-178901?utm_source=chatgpt.com,Sports event,Violence and security-related incidents
2022-12-15,Asake concert | crowd crush fatalities | O2 Academy Brixton,Concert,Crowd-related Incident,2,1,1,United Kingdom,London,https://www.bbc.com/news/uk-england-london-67704945,Concert,Crowd and behavioral incidents
2022-12-16,Wonderfruit festival | attendee deaths,Music festival,Medical emergency - Spectator,2,NA,0,Thailand,Pattaya,https://www.vice.com/en/article/new-calls-for-festival-care-after-two-people-die-at-asias-burning-man/,Music festival,Medical emergencies
2023-02-25,"Lomepal concert | threat, cancelled",Concert,Threat or evacuation (no violence),0,0,1,Switzerland,Geneva,https://www.swissinfo.ch/eng/culture/geneva-concert-cancelled-man-arrested-over-terror-threat/48316920,Concert,Crowd and behavioral incidents
